timestamp,open,high,low,close,volume
2024-01-01,150.00,155.00,148.00,152.50,1000000
2024-01-02,152.50,158.00,151.00,156.20,1200000
2024-01-03,156.20,160.00,155.00,158.80,1300000
2024-01-04,158.80,162.00,157.00,160.50,1100000
2024-01-05,160.50,165.00,159.00,163.20,1400000
2024-01-06,163.20,168.00,162.00,166.50,1500000
2024-01-07,166.50,170.00,165.00,168.80,1600000
2024-01-08,168.80,172.00,167.00,170.20,1550000
2024-01-09,170.20,174.00,169.00,172.50,1650000
2024-01-10,172.50,175.00,171.00,173.80,1700000
2024-01-11,173.80,175.50,170.00,171.20,1450000
2024-01-12,171.20,172.00,165.00,167.50,1800000
2024-01-13,167.50,169.00,162.00,164.20,1950000
2024-01-14,164.20,166.00,158.00,160.50,2100000
2024-01-15,160.50,162.00,154.00,156.80,2300000
2024-01-16,156.80,159.00,150.00,152.20,2500000
2024-01-17,152.20,154.00,145.00,147.50,2800000
2024-01-18,147.50,150.00,140.00,143.20,3100000
2024-01-19,143.20,145.00,135.00,138.50,3400000
2024-01-20,138.50,142.00,132.00,135.80,3600000
2024-01-21,135.80,138.00,128.00,131.20,3800000
2024-01-22,131.20,134.00,125.00,128.50,4000000
2024-01-23,128.50,132.00,122.00,125.80,4200000
2024-01-24,125.80,128.00,120.00,123.50,4100000
2024-01-25,123.50,130.00,122.00,127.80,3800000
2024-01-26,127.80,135.00,126.00,132.50,3500000
2024-01-27,132.50,140.00,131.00,138.20,3200000
2024-01-28,138.20,145.00,137.00,143.50,2900000
2024-01-29,143.50,150.00,142.00,148.80,2700000
2024-01-30,148.80,155.00,147.00,153.20,2500000
2024-01-31,153.20,160.00,152.00,158.50,2400000
2024-02-01,158.50,165.00,157.00,163.20,2300000
2024-02-02,163.20,170.00,162.00,168.50,2200000
2024-02-03,168.50,175.00,167.00,173.80,2100000
2024-02-04,173.80,180.00,172.00,178.50,2000000
2024-02-05,178.50,185.00,177.00,183.20,1950000
2024-02-06,183.20,188.00,182.00,186.50,1900000
2024-02-07,186.50,192.00,185.00,190.20,1850000
2024-02-08,190.20,195.00,189.00,193.80,1800000
2024-02-09,193.80,198.00,192.00,196.50,1750000
2024-02-10,196.50,200.00,195.00,198.80,1700000
2024-02-11,198.80,202.00,197.00,200.50,1650000
2024-02-12,200.50,205.00,199.00,203.20,1600000
2024-02-13,203.20,208.00,202.00,206.50,1550000
2024-02-14,206.50,210.00,205.00,208.80,1500000
2024-02-15,208.80,212.00,207.00,210.50,1450000
2024-02-16,210.50,215.00,209.00,213.80,1400000
2024-02-17,213.80,218.00,212.00,216.50,1350000
2024-02-18,216.50,220.00,215.00,219.20,1300000
2024-02-19,219.20,222.00,218.00,221.50,1250000
2024-02-20,221.50,225.00,220.00,224.20,1200000
2024-02-21,224.20,228.00,223.00,226.80,1150000
2024-02-22,226.80,230.00,225.00,228.50,1100000
2024-02-23,228.50,232.00,227.00,230.80,1050000
2024-02-24,230.80,235.00,229.00,233.50,1000000
2024-02-25,233.50,238.00,232.00,236.20,980000
2024-02-26,236.20,240.00,235.00,238.80,950000
2024-02-27,238.80,242.00,237.00,240.50,920000
2024-02-28,240.50,245.00,239.00,243.20,900000
2024-02-29,243.20,248.00,242.00,246.50,880000
