Day,Open,High,Low,Close,Volume,Market Cap
13/06/2025,150.787,150.787,141.695,148.5533,14459331560,76503529951
12/06/2025,160.9195,161.1955,152.2381,152.6924,10523194789,83158633678
11/06/2025,165.3555,168.225,159.5039,161.1399,13445921011,86556791751
10/06/2025,160.9914,165.4861,156.895,165.0063,10239830051,84042100161
09/06/2025,152.7359,161.5602,149.9132,161.1158,7123536482,81021137839
08/06/2025,150.1213,155.0884,148.2131,152.558,4527270962,79278760469
07/06/2025,147.7682,152.8667,147.3226,150.2596,6335906887,79125706997
06/06/2025,144.5108,151.8665,144.5108,148.015,11255034651,77881988157
05/06/2025,153.6254,154.5231,141.9157,144.6533,8571267665,78921110750
04/06/2025,155.6804,157.9892,153.3297,153.5171,8737643644,81626855420
03/06/2025,156.6964,163.3621,154.9563,155.5272,9432422021,83481670815
02/06/2025,157.5983,158.8754,152.1434,157.0484,7495495720,80955988154
01/06/2025,156.5676,157.8706,150.9655,157.7823,6320530319,80818588250
31/05/2025,156.1658,158.0315,152.4854,156.8469,10018179230,81229774706
30/05/2025,167.0924,167.3795,156.1338,156.5647,10157282053,84492743249
29/05/2025,172.0504,175.1081,166.2612,166.6925,9049324688,88983650620
28/05/2025,176.689,177.2638,169.2368,172.2295,8625630425,90088538312
27/05/2025,174.9161,179.3088,171.8022,176.7582,8589520806,91680305443
26/05/2025,175.9537,178.9007,173.9447,174.9781,10252265460,91874400977
25/05/2025,176.4994,176.7941,169.4187,175.5036,7722798315,89680742757
24/05/2025,173.6393,178.1912,173.0871,175.9885,13088758922,91547409716
23/05/2025,179.6386,187.5202,173.793,173.9682,14872039105,94274655372
22/05/2025,174.2833,180.4423,172.8553,179.8108,15540936184,92421893620
21/05/2025,168.8984,174.6157,166.81,173.9535,11268539271,88370438936
20/05/2025,166.9262866,171.9340875,164.9404,168.4503,7712712279,87211948436
19/05/2025,172.4743982,172.7851035,160.5167468,166.646049,6031850139,85491513700
18/05/2025,166.3808,176.2672,165.6316,173.4267,7797882866,88503453648
17/05/2025,167.7116,169.5364,164.3971,165.9925,9268662535,86876646819
16/05/2025,169.3302,173.9505,167.1448,167.5611,11435964709,89116299107
15/05/2025,176.8577,177.9187,167.2756,168.9273,11089615557,89344235618
14/05/2025,182.4735,183.409,173.9773,176.1715,14458900891,92949093834
13/05/2025,173.941,183.5217,167.0226,183.2281,15760971172,90751165214
12/05/2025,173.4618,180.6854,168.6804,174.4942,14004236402,90771955070
11/05/2025,178.539,179.753,169.8472,172.7796,12774254332,90317213923
10/05/2025,172.7964,177.9386,168.7587,177.643,13664402257,89083797522
